millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,4,141,116,74
2,0,5,141,116,74
3,0,3,141,116,75
4,0,2,141,116,75
5,0,3,141,116,74
6,0,2,141,115,74
7,0,2,141,116,75
8,0,2,141,115,75
9,0,2,141,115,75
10,0,1,141,115,75
11,0,0,141,114,74
12,0,0,141,115,75
13,0,0,141,115,75
14,0,0,141,115,75
15,0,0,141,115,75
16,0,0,141,115,74
17,0,0,141,115,75
18,0,0,141,115,75
19,0,0,141,115,74
20,0,0,141,115,75
21,0,0,141,114,74
22,0,0,141,115,75
23,0,0,141,115,74
24,0,773,142,115,75
25,0,757,142,115,75
26,0,752,142,115,75
27,0,753,142,114,74
28,0,753,142,116,75
29,0,753,142,115,75
30,0,756,142,116,75
31,0,756,142,116,75
32,0,757,141,116,74
33,0,758,142,116,75
34,0,759,141,116,75
35,0,758,141,117,75
36,0,754,141,116,74
37,0,756,141,117,75
38,0,755,142,117,75
39,0,758,142,117,75
40,0,759,142,117,75
41,0,758,142,118,75
42,0,759,142,118,75
43,0,757,142,116,74
44,0,755,142,118,74
45,0,762,142,118,75
46,0,762,142,118,74
47,0,759,142,118,75
48,0,761,142,119,75
49,0,760,142,119,75
50,0,758,142,119,75
51,0,754,142,120,75
52,0,757,142,118,74
53,0,761,142,119,75
54,0,761,142,119,75
55,0,765,142,119,75
56,0,760,142,119,75
57,0,758,142,119,75
58,0,762,142,119,75
59,0,780,142,118,74
60,0,67,141,120,74
61,0,21,142,121,74
62,0,14,141,120,75
63,0,10,141,120,74
64,0,7,141,120,74
65,0,5,141,120,75
66,0,775,142,120,75
67,0,758,142,120,75
68,0,755,142,119,74
69,0,753,142,120,74
70,0,757,142,120,75
71,0,752,142,120,75
72,0,756,142,120,75
73,0,751,142,120,75
74,0,754,142,121,75
75,0,754,142,121,75
76,0,751,142,121,75
77,0,748,142,121,75
78,0,755,142,121,75
79,0,769,142,121,75
80,0,139,142,121,75
81,0,775,142,121,75
82,0,754,142,122,75
83,0,750,142,122,75
84,0,754,142,120,74
85,0,754,142,122,75
86,0,755,142,122,75
87,0,753,142,122,75
88,0,752,142,122,75
89,0,752,142,122,75
90,0,754,142,122,75
91,0,757,142,121,74
92,0,755,142,122,75
93,0,752,142,122,75
94,0,748,142,121,74
95,0,751,142,122,75
96,0,755,142,123,75
97,0,754,142,123,75
98,0,754,142,123,75
