millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,142,109,73
2,0,0,142,108,73
3,0,0,142,109,73
4,0,0,142,108,73
5,0,0,142,109,73
6,0,0,142,109,73
7,0,0,142,109,73
8,0,0,142,109,73
9,0,0,142,109,73
10,0,0,142,109,73
11,0,0,142,108,72
12,0,0,142,108,73
13,0,0,142,109,73
14,0,0,142,108,73
15,0,0,142,109,73
16,0,0,142,108,73
17,0,0,142,109,73
18,0,0,142,108,73
19,0,0,142,109,73
20,0,0,142,108,73
21,0,0,142,109,73
22,0,0,142,109,73
23,0,0,142,108,73
24,0,0,142,108,73
25,0,0,142,109,73
26,0,0,142,108,73
27,0,0,142,109,72
28,0,0,142,107,72
29,0,0,142,109,72
30,0,0,142,108,73
31,0,0,142,108,72
32,0,0,142,108,73
33,0,0,142,109,73
34,0,0,142,109,73
35,0,0,142,108,73
36,0,0,142,109,73
37,0,0,142,108,73
38,0,0,142,108,73
39,0,0,142,108,73
40,0,0,142,108,73
41,0,0,142,109,73
42,0,0,142,109,73
43,0,0,142,107,72
44,0,0,142,108,73
45,0,0,142,108,73
46,0,0,142,108,71
47,0,0,142,108,73
48,0,0,142,108,73
49,0,0,142,108,73
50,0,0,142,108,73
51,0,0,142,107,73
52,0,0,142,108,73
53,0,0,142,108,73
54,0,0,142,108,73
55,0,0,142,107,72
56,0,0,142,108,73
57,0,0,142,108,73
58,0,0,142,108,73
59,0,0,142,107,72
60,0,0,142,108,73
61,0,0,142,108,73
62,0,0,142,108,73
63,0,0,142,108,73
64,0,0,142,108,73
65,0,0,142,108,73
66,0,0,142,108,73
67,0,0,142,108,73
68,0,0,142,108,72
69,0,0,142,108,73
70,0,0,142,108,73
71,0,0,142,108,73
72,0,0,142,108,73
73,0,0,142,108,73
74,0,0,142,108,72
75,0,0,142,107,72
76,0,0,142,108,73
77,0,0,142,108,73
78,0,0,142,108,73
79,0,1,142,108,73
80,0,0,142,108,72
81,0,0,142,108,73
82,0,0,142,107,72
83,0,0,142,108,73
84,0,0,142,108,73
85,0,0,142,108,73
86,0,0,142,108,73
87,0,0,142,106,73
88,0,0,142,108,73
89,0,0,142,108,73
90,0,0,142,108,73
91,0,0,142,107,72
92,0,0,142,108,73
93,0,0,142,108,72
94,0,0,142,108,73
95,0,0,142,108,73
96,0,0,142,108,73
97,0,0,142,108,75
98,0,0,142,108,73
99,0,0,142,108,73
100,0,0,142,108,73
101,0,0,142,108,72
102,0,0,142,109,73
103,0,0,142,108,72
104,0,0,142,108,73
105,0,0,142,109,72
106,0,0,142,108,73
107,0,0,142,110,72
108,0,0,142,107,72
109,0,0,142,108,72
110,0,0,142,108,73
111,0,0,142,108,72
112,0,0,142,109,72
113,0,0,142,108,72
114,0,0,142,108,73
115,0,0,142,108,72
116,0,0,142,110,72
117,0,0,142,108,72
118,0,0,142,108,73
119,0,0,142,108,72
120,0,0,142,108,72
121,0,0,142,108,72
122,0,0,142,108,73
123,0,0,142,107,72
124,0,0,142,108,73
125,0,0,142,109,72
126,0,0,142,109,73
127,0,0,142,108,72
128,0,0,142,108,73
129,0,0,142,108,73
130,0,0,142,108,73
131,0,0,142,108,73
132,0,0,142,108,73
133,0,0,142,108,73
134,0,0,142,106,71
135,0,0,142,108,73
136,0,0,142,108,73
137,0,0,142,107,72
138,0,0,142,108,72
139,0,0,142,107,72
140,0,0,142,108,72
141,0,0,142,108,72
142,0,0,142,108,72
143,0,0,142,108,72
144,0,0,142,108,72
145,0,0,142,108,72
146,0,0,142,108,72
147,0,0,142,108,72
148,0,0,142,108,72
149,0,0,142,108,73
150,0,0,142,108,72
151,0,0,142,108,73
152,0,0,142,108,72
153,0,0,142,108,72
154,0,0,142,110,72
155,0,0,142,107,72
156,0,0,142,108,72
157,0,0,142,108,73
158,0,0,142,108,72
159,0,0,142,107,72
160,0,0,142,108,72
161,0,0,142,108,73
162,0,0,142,108,72
163,0,0,142,108,73
164,0,0,142,108,71
165,0,0,142,108,72
166,0,0,142,108,72
167,0,0,142,108,73
168,0,0,142,108,72
169,0,0,142,108,72
170,0,0,142,108,72
171,0,0,142,107,71
172,0,0,142,108,72
173,0,0,142,108,72
174,0,0,142,107,73
175,0,0,142,108,73
