millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,153,119,68
2,0,0,153,119,68
3,0,0,153,119,68
4,0,0,153,119,68
5,0,0,153,119,68
6,0,0,153,119,68
7,0,0,153,119,68
8,0,0,153,119,68
9,0,0,153,119,68
10,0,0,153,119,68
11,0,0,153,117,68
12,0,0,153,119,68
13,0,0,153,119,68
14,0,0,153,119,68
15,0,0,153,119,66
16,0,0,153,119,68
17,0,0,153,117,68
18,0,0,153,119,68
19,0,0,153,119,68
20,0,0,154,118,68
21,0,0,153,119,68
22,0,0,153,119,68
23,0,0,153,119,68
24,0,1,153,119,68
25,0,0,153,119,68
26,0,0,153,119,68
27,0,0,153,119,68
28,0,0,153,118,67
29,0,0,153,119,68
30,0,0,153,119,68
31,0,0,153,119,68
32,0,0,153,119,68
33,0,0,153,119,69
34,0,0,153,119,68
35,0,0,153,119,68
36,0,0,153,119,68
37,0,0,153,119,68
38,0,0,153,119,68
39,0,0,153,119,68
40,0,0,153,119,68
41,0,0,153,119,68
42,0,0,153,119,68
43,0,0,153,117,68
44,0,0,153,119,68
45,0,0,153,119,68
46,0,0,153,119,68
47,0,2,153,119,68
48,0,0,153,120,68
49,0,0,153,119,68
50,0,0,153,120,69
51,0,0,153,119,68
52,0,0,153,119,68
53,0,0,153,120,69
54,0,0,153,119,68
55,0,0,153,118,68
56,0,0,153,119,68
57,0,0,153,119,68
58,0,0,153,119,68
59,0,0,153,118,67
60,0,0,153,119,68
61,0,0,153,119,68
62,0,0,153,119,68
63,0,0,153,119,68
64,0,0,153,119,68
65,0,0,153,119,68
66,0,0,153,119,68
67,0,0,153,119,68
68,0,0,153,119,68
69,0,0,153,119,68
70,0,0,153,119,68
71,0,0,153,119,68
72,0,0,153,119,68
73,0,0,153,119,68
74,0,0,153,119,68
75,0,0,153,118,67
76,0,0,153,119,68
77,0,0,153,119,68
78,0,0,153,119,68
79,0,0,153,119,68
80,0,0,153,119,68
81,0,0,153,119,68
82,0,0,153,118,67
83,0,0,153,119,68
84,0,0,153,119,68
85,0,0,153,119,68
86,0,0,153,119,68
87,0,0,153,121,68
88,0,0,153,119,68
89,0,0,153,119,68
90,0,0,153,120,68
91,0,0,153,118,67
92,0,0,153,119,68
93,0,0,153,119,68
94,0,0,153,119,68
95,0,0,153,119,68
96,0,0,153,119,68
97,0,0,153,119,68
98,0,0,153,119,68
99,0,0,153,119,68
100,0,0,153,120,68
101,0,0,153,119,68
102,0,0,153,119,68
103,0,0,153,119,68
104,0,0,153,119,68
105,0,0,153,119,68
106,0,0,153,119,68
107,0,0,153,120,68
108,0,0,153,118,67
109,0,0,153,119,68
110,0,0,153,119,68
111,0,0,153,121,68
112,0,0,153,119,68
113,0,0,153,120,68
114,0,0,153,120,68
115,0,0,153,119,68
116,0,0,153,119,68
117,0,0,153,119,68
118,0,0,153,119,68
119,0,0,153,119,68
120,0,0,153,119,68
121,0,0,153,119,67
122,0,0,153,119,68
123,0,0,153,118,67
124,0,0,153,119,68
125,0,0,153,119,68
126,0,0,153,120,68
127,0,0,153,120,68
128,0,0,153,119,68
129,0,0,153,119,68
130,0,0,153,120,69
131,0,0,153,120,68
132,0,0,153,120,68
133,0,0,153,119,68
134,0,0,153,118,67
135,0,0,153,120,68
136,0,0,153,119,68
137,0,0,153,119,68
138,0,0,153,120,68
139,0,0,153,118,67
140,0,0,153,120,68
141,0,0,153,119,68
142,0,0,153,120,68
143,0,0,153,119,68
144,0,0,154,120,68
145,0,0,153,119,68
146,0,0,153,119,68
147,0,0,153,120,68
148,0,0,153,120,68
149,0,0,153,120,68
150,0,0,153,120,68
151,0,0,153,120,68
152,0,0,153,120,68
153,0,0,153,120,68
154,0,0,153,120,68
155,0,0,153,118,67
156,0,0,153,120,68
157,0,0,153,120,68
158,0,0,153,119,68
159,0,0,153,118,67
160,0,0,153,120,68
161,0,0,153,120,68
162,0,0,153,120,67
163,0,0,153,120,69
164,0,0,153,119,68
165,0,0,153,120,68
166,0,0,153,118,67
167,0,0,153,120,68
168,0,0,153,120,68
169,0,0,153,120,68
170,0,0,153,120,68
171,0,0,153,118,67
172,0,0,153,119,68
173,0,0,153,120,68
174,0,0,153,120,68
175,0,0,153,120,66
176,0,0,153,120,68
177,0,0,153,118,67
178,0,0,153,120,68
179,0,0,153,119,68
180,0,0,153,120,68
181,0,0,153,120,69
182,0,0,153,120,68
183,0,0,153,120,68
184,0,0,153,122,68
185,0,0,153,118,67
186,0,0,153,119,68
187,0,0,153,120,68
188,0,0,153,118,67
189,0,0,153,120,68
190,0,0,153,119,68
191,0,0,153,120,68
192,0,0,153,118,68
193,0,0,153,120,68
194,0,0,153,120,68
195,0,0,153,120,68
196,0,0,153,120,68
197,0,0,153,120,68
198,0,0,153,120,68
199,0,0,153,120,68
200,0,0,153,120,68
201,0,0,153,120,68
202,0,0,153,120,68
203,0,0,153,119,67
204,0,0,153,120,68
205,0,0,153,120,68
206,0,0,153,120,68
207,0,0,153,120,68
208,0,0,153,120,69
209,0,0,153,120,68
210,0,0,153,120,68
211,0,0,153,119,67
212,0,0,153,120,68
213,0,0,154,119,68
214,0,0,153,120,68
215,0,0,153,120,68
216,0,0,153,120,68
217,0,0,153,120,68
218,0,0,153,120,68
219,0,0,153,118,67
220,0,0,153,120,68
221,0,0,153,120,68
222,0,0,153,120,68
223,0,0,153,120,68
224,0,0,153,120,69
225,0,0,153,120,68
226,0,0,153,120,68
227,0,0,153,120,68
228,0,0,154,120,68
229,0,0,153,120,68
230,0,0,153,120,68
231,0,0,153,120,68
232,0,0,153,120,68
233,0,0,153,120,68
234,0,0,153,120,68
235,0,0,153,120,68
236,0,0,153,119,67
237,0,0,153,120,68
238,0,0,153,120,68
239,0,0,153,120,68
240,0,0,153,120,68
241,0,0,153,120,67
242,0,0,153,120,67
243,0,0,153,120,68
244,0,0,153,120,68
245,0,0,153,120,68
246,0,0,153,120,68
247,0,0,153,120,68
248,0,0,153,120,68
249,0,0,153,120,68
250,0,0,153,120,68
251,0,1,153,119,67
252,0,0,153,120,68
253,0,0,153,120,68
254,0,0,153,120,68
255,0,0,153,120,68
256,0,0,153,120,68
257,0,0,153,120,68
258,0,0,153,120,68
259,0,0,153,120,68
260,0,0,153,122,68
261,0,0,153,121,68
262,0,0,153,119,67
263,0,0,153,120,68
264,0,0,153,120,68
265,0,0,153,120,68
266,0,0,153,120,68
267,0,0,153,119,67
268,0,0,153,121,68
269,0,0,153,120,68
270,0,0,153,120,68
271,0,0,153,120,68
272,0,0,153,120,68
273,0,0,153,120,68
274,0,0,153,120,68
275,0,0,153,120,68
276,0,0,153,120,68
277,0,0,153,120,67
278,0,0,153,120,68
279,0,0,153,120,68
280,0,0,153,120,68
281,0,0,153,120,68
282,0,0,153,120,68
283,0,0,153,119,67
284,0,0,153,120,68
285,0,0,153,120,68
286,0,0,153,120,68
287,0,0,153,119,67
288,0,0,153,120,68
289,0,0,153,120,68
290,0,0,153,120,68
291,0,0,153,120,67
292,0,0,153,120,68
293,0,0,153,120,68
294,0,0,153,120,68
295,0,0,153,120,68
296,0,0,153,120,68
297,0,0,153,120,68
298,0,0,153,120,68
299,0,0,153,119,67
300,0,0,153,120,68
301,0,0,153,121,68
302,0,0,153,120,68
303,0,0,153,120,68
304,0,0,153,120,68
305,0,0,153,120,68
306,0,0,153,120,68
307,0,0,153,120,68
308,0,0,153,121,68
309,0,0,153,120,68
310,0,0,153,120,67
311,0,0,153,120,68
312,0,0,153,120,68
313,0,0,153,119,67
314,0,0,153,120,68
315,0,0,153,120,68
316,0,0,154,120,67
317,0,0,153,120,68
318,0,0,153,120,68
319,0,0,153,120,68
320,0,0,153,120,68
321,0,0,153,120,68
322,0,0,153,120,68
323,0,0,153,120,68
324,0,0,153,120,68
325,0,0,153,120,68
326,0,0,153,120,68
327,0,0,153,120,68
328,0,0,153,120,68
329,0,0,153,120,68
330,0,0,153,120,68
331,0,0,153,119,67
332,0,0,153,120,68
333,0,0,153,120,68
334,0,0,153,120,68
