millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,146,118,74
2,0,2,146,119,74
3,0,4,146,117,75
4,0,2,146,120,72
5,0,6,146,118,75
6,0,0,146,119,75
7,0,10,146,119,77
8,0,0,146,118,76
9,0,1,146,118,73
10,0,0,146,118,75
11,0,0,146,119,74
12,0,0,146,119,74
13,0,0,146,117,74
14,0,0,146,117,74
15,0,0,146,119,73
16,0,0,146,118,74
17,0,6,146,118,71
18,0,3,146,118,74
19,0,0,146,118,74
20,0,0,146,115,75
21,0,4,147,118,74
22,0,3,146,115,75
23,0,0,146,118,74
24,0,0,146,121,74
25,0,0,146,116,74
26,0,0,145,117,77
27,0,0,146,119,74
28,0,0,146,116,74
29,0,0,145,117,74
30,0,1,146,117,75
31,0,1,145,120,79
32,0,0,146,119,73
33,0,0,146,117,75
34,0,0,146,118,75
35,0,8,146,118,78
36,0,3,146,117,74
37,0,0,146,116,79
38,0,0,145,117,78
39,0,6,145,114,74
40,0,0,146,119,76
41,0,4,146,118,75
42,0,13,146,118,74
43,0,0,145,116,72
44,0,1,146,118,74
45,0,0,146,116,75
46,0,0,145,117,73
47,0,0,146,119,75
48,0,0,145,115,75
49,0,0,146,117,75
50,0,0,146,116,74
51,0,0,146,117,74
52,0,0,146,117,75
53,0,0,146,117,74
54,0,8,146,116,74
55,0,8,146,117,75
56,0,0,146,118,75
57,0,0,146,117,75
58,0,4,146,118,75
59,0,0,146,116,74
60,0,0,146,115,73
61,0,0,146,115,75
62,0,0,146,117,75
63,0,7,146,117,75
64,0,0,146,118,74
65,0,0,146,118,77
66,0,10,146,117,72
67,0,0,145,116,76
68,0,0,146,117,75
69,0,5,146,117,75
70,0,2,146,117,75
71,0,1,146,117,73
72,0,0,146,117,76
73,0,12,145,118,75
74,0,0,146,118,74
75,0,11,145,116,74
76,0,11,146,117,79
77,0,0,146,119,74
78,0,0,146,119,74
79,0,0,146,118,74
80,0,11,145,117,71
81,0,0,146,116,73
82,0,0,146,119,76
83,0,0,146,115,75
84,0,0,145,117,75
85,0,2,146,118,74
86,0,7,146,117,76
87,0,11,146,116,73
88,0,0,145,118,73
89,0,8,145,117,76
90,0,0,146,117,76
91,0,0,145,117,74
92,0,0,146,115,75
93,0,10,146,116,74
94,0,10,146,118,75
95,0,12,147,117,74
96,0,4,146,116,74
97,0,0,147,118,76
98,0,0,146,116,72
99,0,0,146,116,75
100,0,0,146,115,78
101,0,6,146,116,75
102,0,5,145,116,74
103,0,8,146,117,75
104,0,2,145,115,75
105,0,0,146,116,75
106,0,0,146,116,71
107,0,0,145,115,73
108,0,8,146,116,73
109,0,9,145,115,73
110,0,7,146,117,73
111,0,3,145,114,75
112,0,2,145,117,74
113,0,2,145,113,74
114,0,6,146,117,75
115,0,0,145,118,76
116,0,1,145,117,75
117,0,1,146,117,74
118,0,0,146,117,76
119,0,1,146,117,75
120,0,0,146,117,77
121,0,0,145,117,72
122,0,0,145,116,74
123,0,0,146,116,74
124,0,0,145,117,74
125,0,3,146,115,76
126,0,6,145,115,74
127,0,0,145,116,75
128,0,0,146,117,73
129,0,0,145,119,76
130,0,0,146,116,74
131,0,0,145,116,74
132,0,10,146,117,76
133,0,0,145,116,73
134,0,0,145,116,76
135,0,5,145,117,75
136,0,0,145,116,75
137,0,3,146,115,74
138,2,4,145,117,74
139,0,7,146,115,73
140,0,0,146,114,75
141,0,8,145,118,73
142,0,4,146,120,75
143,0,0,146,114,75
144,0,0,146,116,74
145,0,0,146,117,77
146,0,0,145,116,76
147,0,0,146,116,77
148,0,9,146,116,73
149,0,2,145,117,76
150,0,9,146,116,75
151,0,0,146,116,75
152,0,0,146,116,75
153,0,3,146,115,75
154,0,0,146,117,74
155,0,0,146,115,74
156,0,11,145,116,74
157,0,4,146,118,75
158,0,0,146,117,75
159,0,3,145,115,74
160,0,7,145,117,74
161,0,0,145,116,75
162,0,5,145,113,73
163,0,0,145,116,76
164,0,7,146,116,74
165,0,0,146,116,75
166,0,0,146,117,75
167,0,0,146,116,77
168,0,0,146,114,71
169,0,2,145,117,74
170,0,0,146,117,74
171,0,1,146,115,75
172,0,1,146,117,76
173,0,0,146,116,75
174,0,2,146,118,74
175,0,6,147,117,75
176,0,4,146,114,72
177,0,0,146,118,74
178,0,5,146,117,75
179,0,0,146,116,76
180,0,0,147,116,74
181,0,0,147,118,72
182,0,0,146,117,75
183,0,0,147,115,73
184,0,0,147,115,74
185,0,3,147,116,75
186,0,0,146,117,75
187,0,6,147,116,80
188,0,0,147,114,75
189,0,0,147,116,75
190,0,0,148,116,74
191,0,0,147,117,74
192,0,0,147,116,78
193,0,0,147,115,73
194,0,4,147,118,73
195,0,0,147,114,73
196,0,0,147,117,72
197,0,0,147,117,75
198,0,0,147,116,76
199,0,10,148,114,77
200,0,12,147,116,74
201,0,1,148,118,74
