millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,141,109,74
2,0,0,141,109,75
3,0,0,141,109,73
4,0,0,141,109,73
5,0,0,141,109,74
6,0,0,141,109,73
7,0,796,141,109,74
8,0,780,141,108,74
9,0,776,141,109,74
10,0,776,141,109,74
11,0,776,141,109,73
12,0,776,141,110,74
13,0,776,141,110,75
14,0,773,141,111,74
15,0,772,141,111,74
16,0,746,141,111,74
17,0,749,141,112,74
18,0,751,141,113,74
19,0,779,141,112,74
20,0,777,141,111,74
21,0,777,141,113,74
22,0,776,141,113,74
23,0,774,142,114,74
24,0,772,141,114,74
25,0,777,141,114,74
26,0,778,141,113,73
27,0,782,141,114,74
28,0,806,141,115,74
29,0,65,141,115,74
30,0,28,141,115,74
31,0,17,141,114,76
32,0,12,141,115,74
33,0,10,141,115,74
34,0,7,141,115,74
35,0,6,141,115,73
36,0,5,141,115,74
37,0,4,141,115,73
38,0,2,141,115,74
39,0,3,141,115,74
40,0,2,141,115,74
41,0,2,141,115,73
42,0,2,141,115,74
43,0,1,141,114,73
44,0,1,141,115,74
45,0,1,141,115,74
46,0,0,141,115,74
47,0,0,141,115,74
48,0,789,141,115,74
49,0,781,141,115,74
50,0,782,141,116,74
51,0,779,141,115,74
52,0,791,141,114,73
53,0,83,141,116,74
54,0,30,141,116,74
55,0,18,141,116,74
56,0,13,141,116,74
57,0,10,141,116,74
58,0,7,141,116,74
59,0,6,141,114,73
60,0,5,141,116,74
61,0,4,141,116,74
62,0,3,141,116,74
63,0,2,141,116,74
64,0,2,141,116,74
65,0,1,141,116,74
66,0,1,141,116,74
67,0,2,141,116,74
68,0,1,141,116,74
69,0,1,141,116,74
70,0,0,141,116,74
71,0,1,141,116,74
72,0,1,141,116,74
73,0,1,141,116,74
74,0,0,141,116,74
75,0,0,141,115,73
76,0,1,141,116,74
77,0,0,141,116,74
78,0,0,141,114,73
79,0,0,141,116,74
80,0,0,141,116,73
81,0,0,141,116,74
82,0,0,141,116,74
83,0,0,141,115,74
84,0,0,141,116,74
85,0,0,141,116,74
86,0,0,141,115,75
87,0,0,141,116,74
88,0,0,141,115,74
89,0,0,141,116,74
90,0,0,141,115,74
91,0,0,141,114,73
92,0,0,141,115,74
93,0,0,141,115,74
94,0,0,141,115,74
95,0,0,141,115,74
96,0,0,141,115,74
97,0,0,141,115,74
98,0,0,141,115,74
99,0,0,141,115,74
100,0,0,141,114,74
101,0,0,141,115,74
102,0,0,141,115,74
103,0,0,141,115,74
104,0,0,141,115,74
105,0,0,141,113,73
106,0,0,141,115,74
107,0,0,141,115,74
108,0,0,141,115,74
109,0,0,141,115,74
110,0,0,141,115,74
111,0,0,141,115,73
112,0,0,141,115,74
113,0,0,141,115,74
114,0,0,142,115,74
115,0,0,141,115,74
116,0,0,141,115,74
117,0,0,141,115,74
118,0,0,141,115,74
119,0,0,141,115,74
120,0,0,141,115,74
121,0,0,141,115,74
122,0,0,141,115,74
123,0,0,141,113,73
124,0,0,141,117,74
125,0,0,141,115,74
126,0,0,141,115,74
127,0,0,141,114,74
128,0,0,141,114,74
129,0,0,141,114,75
130,0,0,141,115,74
131,0,0,141,113,73
132,0,0,141,114,74
133,0,0,141,114,74
134,0,0,141,114,74
135,0,0,141,114,74
136,0,0,141,114,74
137,0,0,141,114,74
138,0,0,141,114,74
139,0,0,141,113,74
140,0,0,141,114,74
141,0,0,141,114,74
142,0,0,141,114,74
143,0,0,141,114,74
144,0,0,141,114,74
145,0,0,141,114,74
146,0,0,141,114,74
147,0,0,141,114,74
148,0,0,141,114,75
149,0,0,141,114,74
150,0,0,141,114,74
151,0,0,141,114,74
152,0,0,141,114,75
153,0,0,141,114,74
154,0,0,141,114,75
155,0,0,141,114,74
156,0,0,141,112,73
157,0,0,141,114,75
158,0,0,141,114,74
159,0,0,141,114,74
160,0,0,141,114,74
161,0,0,141,114,74
162,0,0,141,114,74
163,0,0,142,114,74
164,0,0,141,114,74
165,0,0,141,114,74
166,0,0,141,113,74
167,0,0,141,114,74
168,0,0,141,114,74
169,0,0,141,112,74
170,0,0,141,113,74
171,0,0,141,112,74
172,0,0,141,113,74
173,0,0,141,113,74
174,0,0,141,113,74
175,0,0,141,112,74
176,0,0,141,113,74
177,0,0,141,113,74
178,0,0,141,113,75
179,0,0,141,113,75
180,0,0,141,113,75
181,0,0,141,113,74
182,0,0,141,112,74
183,0,0,141,113,74
184,0,0,141,113,74
185,0,0,141,113,74
186,0,0,141,113,75
187,0,0,141,112,72
