millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,149,112,73
2,0,0,149,112,73
3,0,0,149,111,72
4,0,0,149,112,73
5,0,0,149,112,73
6,0,0,149,112,72
7,0,0,149,112,73
8,0,0,149,112,73
9,0,0,149,112,73
10,0,0,149,112,73
11,0,0,149,110,72
12,0,0,149,112,73
13,0,0,149,111,73
14,0,0,149,112,73
15,0,0,149,112,73
16,0,0,149,112,73
17,0,0,149,112,72
18,0,0,149,111,73
19,0,0,149,111,72
20,0,0,149,112,73
21,0,0,149,111,73
22,0,0,149,112,73
23,0,0,149,112,72
24,0,0,149,112,73
25,0,0,149,112,72
26,0,0,149,111,73
27,0,0,149,112,72
28,0,0,149,111,72
29,0,0,149,112,72
30,0,0,149,112,73
31,0,0,149,112,72
32,0,0,149,112,73
33,0,0,149,114,72
34,0,0,149,112,72
35,0,0,149,112,72
36,0,0,149,112,73
37,0,0,149,112,72
38,0,0,149,112,73
39,0,0,149,111,72
40,0,0,149,112,73
41,0,0,149,111,72
42,0,0,149,112,73
43,0,0,149,110,72
44,0,0,149,112,73
45,0,0,149,112,73
46,0,0,149,112,73
47,0,0,149,112,72
48,0,0,149,112,73
49,0,0,149,111,73
50,0,0,149,112,72
51,0,0,149,112,73
52,0,0,149,112,73
53,0,0,149,112,72
54,0,0,149,112,73
55,0,0,149,110,72
56,0,0,149,112,73
57,0,0,149,112,73
58,0,0,149,112,73
59,0,0,149,110,72
60,0,0,149,111,73
61,0,0,149,111,73
62,0,0,149,112,72
63,0,0,149,112,72
64,0,0,149,112,72
65,0,0,149,112,73
66,0,0,149,111,74
67,0,0,149,112,72
68,0,0,149,112,72
69,0,0,149,112,73
70,0,0,149,112,72
71,0,0,149,112,75
72,0,0,149,112,72
73,0,0,149,111,73
74,0,0,149,111,72
75,0,0,149,110,72
76,0,0,149,112,72
77,0,0,149,112,73
78,0,0,149,111,72
79,0,0,149,112,73
80,0,0,149,112,72
81,0,0,149,112,72
82,0,0,149,110,71
83,0,0,149,112,73
84,0,0,149,112,72
85,0,0,149,111,73
86,0,0,149,112,72
87,0,0,149,112,72
88,0,0,149,112,72
89,0,0,149,112,72
90,0,0,149,112,73
91,0,0,149,110,71
92,0,0,149,112,72
93,0,0,149,112,72
94,0,0,149,112,73
95,0,0,149,112,72
96,0,0,149,112,73
97,0,0,149,112,72
98,0,0,149,112,72
99,0,0,149,112,73
100,0,0,149,111,73
101,0,0,149,112,72
102,0,0,149,112,73
103,0,0,149,112,72
104,0,0,149,112,73
105,0,0,149,110,72
106,0,0,149,112,73
107,0,0,149,111,72
108,0,0,149,111,72
109,0,0,149,112,72
110,0,0,149,112,72
111,0,0,149,112,72
112,0,0,149,112,73
113,0,0,149,112,72
114,0,0,149,112,72
115,0,0,149,111,72
116,0,0,149,112,72
117,0,0,149,112,72
118,0,0,149,112,72
119,0,0,149,112,72
120,0,0,149,112,73
121,0,0,149,112,72
122,0,0,149,112,73
123,0,0,149,110,71
124,0,0,149,111,72
125,0,0,149,111,72
126,0,0,149,112,72
127,0,0,149,112,72
128,0,0,149,112,72
129,0,0,149,112,73
130,0,0,149,112,72
131,0,0,149,111,72
132,0,0,149,112,73
133,0,0,149,111,73
134,0,0,149,110,72
135,0,0,149,111,73
136,0,0,149,112,72
137,0,0,149,111,72
138,0,0,149,112,72
139,0,0,149,110,72
140,0,0,149,112,73
141,0,0,149,112,73
142,0,0,149,112,72
143,0,0,149,111,73
144,0,0,149,112,72
145,0,0,149,111,73
146,0,0,149,112,72
147,0,0,149,111,72
148,0,0,149,112,72
149,0,0,149,112,72
150,0,0,149,111,72
151,0,0,149,112,73
152,0,0,149,112,72
153,0,0,149,111,72
154,0,0,149,111,72
155,0,0,149,110,72
156,0,0,149,112,72
157,0,0,149,112,72
158,0,0,149,112,72
159,0,0,149,110,71
160,0,0,149,112,72
161,0,0,150,112,72
162,0,0,149,112,72
163,0,0,149,112,72
164,0,0,149,112,72
165,0,0,149,112,72
166,0,0,150,112,71
167,0,0,149,112,72
168,0,0,149,112,72
169,0,0,149,111,72
170,0,0,149,111,72
171,0,0,149,110,71
172,0,0,149,111,72
173,0,0,149,112,73
174,0,0,149,110,72
175,0,0,149,112,72
176,0,0,149,111,72
177,0,0,149,111,73
178,0,0,149,111,72
179,0,0,149,111,73
180,0,0,149,111,73
181,0,0,149,112,72
182,0,0,149,112,72
183,0,0,149,111,73
184,0,0,149,112,71
185,0,0,149,110,71
186,0,0,149,111,72
187,0,0,149,112,72
188,0,0,149,111,72
189,0,0,149,110,72
190,0,0,149,112,73
191,0,0,149,111,72
192,0,0,149,112,72
193,0,0,149,112,72
194,0,0,149,112,72
195,0,0,149,111,72
196,0,0,149,111,73
197,0,0,149,112,72
198,0,0,149,112,73
199,0,0,149,111,72
200,0,0,149,111,72
201,0,0,149,111,72
202,0,0,149,111,72
203,0,0,149,112,72
204,0,0,149,110,72
205,0,0,149,112,72
206,0,0,149,111,72
207,0,0,149,111,72
208,0,0,149,111,72
209,0,0,149,112,72
210,0,0,149,111,72
211,0,0,149,110,71
212,0,0,149,111,72
213,0,0,149,111,72
214,0,0,149,111,73
215,0,0,149,111,71
216,0,0,149,111,72
217,0,0,149,111,72
218,0,0,149,112,72
219,0,0,149,110,72
220,0,0,149,112,72
221,0,0,149,111,72
222,0,0,149,112,72
223,0,0,149,112,72
224,0,0,149,112,73
225,0,0,149,111,72
226,0,0,149,112,72
227,0,0,149,111,72
228,0,0,149,111,72
229,0,0,149,111,73
230,0,0,149,112,72
231,0,0,149,111,72
232,0,0,149,112,72
233,0,0,149,111,72
234,0,0,149,111,70
235,0,0,149,111,73
236,0,0,149,110,71
237,0,0,149,112,73
238,0,0,149,112,72
239,0,0,149,112,72
240,0,0,149,111,72
241,0,0,149,111,72
242,0,0,149,112,70
243,0,0,149,111,72
244,0,0,149,112,72
245,0,0,149,111,72
246,0,0,149,111,72
247,0,0,149,111,72
248,0,0,149,112,72
249,0,0,150,111,72
250,0,0,149,111,72
251,0,0,149,110,71
252,0,0,149,112,71
253,0,0,149,111,72
254,0,0,149,111,72
255,0,0,149,110,72
256,0,0,149,111,72
257,0,0,149,111,72
258,0,0,149,111,72
259,0,0,149,111,72
260,0,0,149,111,72
261,0,0,149,112,72
262,0,0,149,110,71
263,0,0,149,111,72
264,0,0,149,112,72
265,0,0,149,112,72
266,0,0,149,111,72
267,0,0,149,110,71
268,0,0,149,112,72
269,0,0,149,111,72
270,0,0,149,111,72
271,0,0,149,111,72
272,0,0,149,112,72
273,0,0,149,111,72
274,0,0,149,111,72
275,0,0,149,111,72
276,0,0,149,111,72
277,0,0,149,111,72
278,0,0,149,111,72
279,0,0,149,111,72
280,0,0,149,112,72
281,0,0,149,111,72
282,0,0,149,112,72
283,0,0,149,110,71
284,0,0,149,112,72
285,0,0,149,111,72
286,0,0,149,111,72
287,0,0,149,110,71
288,0,0,149,111,72
289,0,0,149,111,72
290,0,0,149,111,72
291,0,0,149,111,72
292,0,0,150,112,72
293,0,0,149,111,72
294,0,0,149,111,72
295,0,0,150,111,71
296,0,0,149,111,72
297,0,0,149,110,71
298,0,0,149,111,72
299,0,0,149,111,72
300,0,0,149,111,72
301,0,0,149,112,72
302,0,0,149,111,72
303,0,0,149,111,72
304,0,0,149,111,72
305,0,0,149,111,72
306,0,0,149,111,72
307,0,0,149,111,73
308,0,0,149,111,72
309,0,0,149,111,72
310,0,0,149,111,72
311,0,0,149,112,72
312,0,0,149,111,72
313,0,0,149,110,71
314,0,0,149,111,72
315,0,0,149,111,72
316,0,0,149,111,72
317,0,0,149,111,72
318,0,0,149,111,72
319,0,0,149,111,72
320,0,0,149,111,72
321,0,0,149,111,72
322,0,0,149,111,72
323,0,0,149,111,72
324,0,0,149,111,73
325,0,0,149,111,72
326,0,0,149,112,72
327,0,0,149,110,71
328,0,0,149,112,72
329,0,0,149,112,72
330,0,0,149,111,72
331,0,0,149,110,71
332,0,0,149,111,72
333,0,0,149,111,72
334,0,0,149,111,72
335,0,0,149,111,72
336,0,0,149,112,71
337,0,0,149,111,72
338,0,0,149,111,72
339,0,0,149,110,71
340,0,0,149,111,72
341,0,0,149,111,72
342,0,0,149,111,72
343,0,0,149,111,72
344,0,0,149,111,72
345,0,0,149,111,72
346,0,0,149,111,72
347,0,0,149,110,71
348,0,0,149,111,72
349,0,0,149,111,72
350,0,0,149,111,72
351,0,0,149,111,72
352,0,0,149,111,72
353,0,0,149,112,72
354,0,0,149,111,72
355,0,0,149,111,72
356,0,0,149,112,72
357,0,0,149,112,71
358,0,0,149,111,72
359,0,0,149,110,71
360,0,0,149,112,72
361,0,0,149,111,72
362,0,0,149,112,72
363,0,0,149,111,72
364,0,0,149,110,71
365,0,0,149,111,72
366,0,0,149,111,72
367,0,0,149,111,72
368,0,0,149,111,72
369,0,0,149,111,72
370,0,0,149,110,71
371,0,0,149,111,72
372,0,0,149,111,72
373,0,0,149,111,72
374,0,0,149,111,72
375,0,0,149,111,72
376,0,0,149,111,72
377,0,0,149,111,72
378,0,0,149,111,72
379,0,0,149,110,71
380,0,0,149,111,72
381,0,0,149,111,72
382,0,0,149,111,72
383,0,0,149,111,72
384,0,0,149,111,72
385,0,0,149,111,72
386,0,0,149,111,72
387,0,0,149,111,72
388,0,0,149,111,72
389,0,0,149,111,72
390,0,0,149,110,71
391,0,0,149,111,72
392,0,0,149,111,73
393,0,0,149,111,72
