millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,154,114,72
2,0,0,151,114,70
3,0,0,156,114,68
4,0,0,153,114,69
5,0,0,152,114,68
6,0,0,152,114,72
7,0,0,151,113,73
8,0,0,152,114,68
9,0,4,152,113,72
10,0,0,147,119,72
11,3,0,150,111,72
12,2,0,147,113,72
13,4,0,147,112,73
14,0,0,147,112,72
15,0,0,148,112,72
16,0,0,147,112,72
17,0,0,147,112,72
18,0,0,147,112,75
19,0,0,147,112,81
20,0,0,148,112,75
21,0,0,151,112,74
22,0,0,152,113,73
23,0,0,148,114,73
24,0,0,148,114,73
25,0,0,147,114,72
26,0,0,152,114,72
27,0,0,148,114,72
28,0,0,150,113,72
29,0,0,148,114,72
30,0,0,147,115,72
31,0,0,148,119,72
32,0,0,147,114,72
33,0,0,147,113,72
34,3,0,147,113,72
35,3,0,147,112,72
36,0,0,147,112,72
37,0,0,147,111,73
38,0,0,147,111,72
39,0,0,147,112,75
40,0,0,147,112,77
41,0,0,147,112,75
42,0,0,151,112,74
43,0,0,151,113,72
44,0,0,149,114,73
45,0,0,148,114,73
46,0,0,147,114,73
47,0,0,148,114,73
48,0,0,147,114,73
49,0,3,148,114,72
50,0,6,147,113,72
51,0,0,147,118,72
52,0,0,147,119,72
53,0,0,151,118,71
54,0,0,147,113,73
55,4,0,150,111,72
56,4,0,147,112,73
57,0,0,147,112,72
58,0,0,147,112,72
59,0,0,150,111,73
60,0,0,147,112,72
61,0,0,147,112,77
62,0,0,147,111,75
63,0,0,147,112,75
64,0,0,151,112,74
65,0,0,152,114,73
66,0,0,148,114,73
67,0,0,148,114,72
68,0,0,148,114,72
69,0,0,148,114,73
70,0,3,148,114,73
71,0,0,147,114,73
72,0,0,147,114,72
73,0,0,147,118,72
74,0,0,146,114,72
75,0,0,150,112,72
76,0,0,147,113,73
77,3,0,148,113,72
78,0,0,147,112,73
79,0,0,147,112,72
80,0,0,148,112,72
81,0,0,147,112,73
82,0,0,150,111,74
83,0,0,147,112,78
84,0,0,146,112,74
85,0,0,147,112,74
86,0,0,148,114,73
87,0,0,148,114,73
88,0,0,148,114,73
89,0,0,148,114,73
90,0,0,147,114,73
91,0,4,150,112,72
92,0,3,148,114,72
93,0,0,146,114,72
94,0,0,147,115,72
95,0,0,147,117,71
96,0,0,147,114,72
97,0,0,147,113,72
98,3,0,147,112,72
99,4,0,147,113,72
100,0,0,151,112,73
101,0,0,151,112,78
102,0,0,151,112,75
103,0,0,155,112,75
104,0,0,155,112,74
105,0,0,152,112,74
106,0,0,151,112,74
107,0,0,151,114,74
108,0,0,151,113,73
109,0,0,151,114,74
110,0,3,151,114,73
111,0,5,151,112,73
112,0,0,151,114,73
113,0,0,151,119,73
114,0,0,151,115,73
115,0,0,151,113,73
116,3,0,151,113,73
117,3,0,150,113,73
118,0,0,150,112,73
119,0,0,151,112,73
120,0,0,151,112,73
121,0,0,150,112,73
122,0,0,150,112,77
123,0,0,151,111,75
124,0,0,150,112,75
125,0,0,155,112,75
126,0,0,152,112,74
127,0,0,152,112,74
128,0,0,151,112,74
129,0,0,151,114,73
130,0,0,151,114,73
131,0,3,151,114,73
132,0,6,151,114,74
133,0,0,151,114,73
134,0,0,151,113,72
135,0,0,150,119,73
136,0,0,151,113,73
137,0,0,150,113,72
138,3,0,150,113,73
139,0,0,151,111,72
140,0,0,150,112,73
141,0,0,150,112,73
142,0,0,150,112,72
143,0,0,151,112,77
144,0,0,150,112,78
145,0,0,150,111,75
146,0,0,155,112,74
147,0,0,155,112,74
148,0,0,151,112,74
149,0,0,151,112,73
150,0,0,151,114,73
151,0,0,151,114,73
152,0,0,150,114,73
153,0,4,151,114,73
154,0,0,151,114,73
155,0,0,151,118,72
156,0,0,150,118,73
157,0,0,150,113,73
158,0,1,150,113,73
159,0,0,151,111,72
160,3,0,150,112,73
161,0,0,150,112,73
162,0,0,151,112,73
163,0,0,150,112,73
164,0,0,150,112,75
165,0,0,150,112,77
166,0,0,150,111,78
167,0,0,151,111,74
168,0,0,155,112,74
169,0,0,151,112,74
170,0,0,151,112,73
